2020-11-24 17:53:38.636150 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Sampling set of tasks/goals for this meta-batch...
2020-11-24 17:53:38.637149 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | ** Step 0 **
2020-11-24 17:53:38.637149 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Obtaining samples...
2020-11-24 17:53:38.637149 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Obtaining samples for iteration 0...
2020-11-24 17:54:29.992753 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Processing samples...
2020-11-24 17:54:30.089752 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | fitting baseline...
2020-11-24 17:54:30.137751 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | fitted
2020-11-24 17:54:30.166752 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Logging diagnostics...
2020-11-24 17:54:30.168751 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Computing policy updates...
2020-11-24 17:54:31.195750 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | ** Step 1 **
2020-11-24 17:54:31.195750 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Obtaining samples...
2020-11-24 17:54:31.195750 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Obtaining samples for iteration 0...
2020-11-24 17:56:50.136634 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Sampling set of tasks/goals for this meta-batch...
2020-11-24 17:56:50.137634 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | ** Step 0 **
2020-11-24 17:56:50.137634 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Obtaining samples...
2020-11-24 17:56:50.137634 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Obtaining samples for iteration 0...
2020-11-24 18:02:39.662987 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Sampling set of tasks/goals for this meta-batch...
2020-11-24 18:02:39.662987 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | ** Step 0 **
2020-11-24 18:02:39.662987 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Obtaining samples...
2020-11-24 18:02:39.663987 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Obtaining samples for iteration 0...
