2020-11-24 17:53:38.636150 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Sampling set of tasks/goals for this meta-batch...
2020-11-24 18:03:26.033139 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Processing samples...
2020-11-24 18:03:26.121138 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | fitting baseline...
2020-11-24 18:03:26.172139 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | fitted
2020-11-24 18:03:26.203140 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Logging diagnostics...
2020-11-24 18:03:26.205139 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Computing policy updates...
2020-11-24 18:03:27.205155 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | ** Step 1 **
2020-11-24 18:03:27.205155 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Obtaining samples...
2020-11-24 18:03:27.205155 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Obtaining samples for iteration 0...
2020-11-25 11:30:53.128656 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Sampling set of tasks/goals for this meta-batch...
2020-11-25 11:30:53.129656 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | ** Step 0 **
2020-11-25 11:30:53.130656 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Obtaining samples...
2020-11-25 11:30:53.130656 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs5_flr_0.1_mlr0.2] itr #0 | Obtaining samples for iteration 0...
